alert_id,soc_id,timestamp_created,source,source_system,alert_type,category,severity,risk_score,asset_id,user_id,source_ip,destination_ip,mitre_tactic,mitre_technique,true_positive,assigned_analyst_id,status,priority,scenario_type
ALT-000001,SOC-001,2026-01-01T12:54:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,CRITICAL,72,HOST-2223,USR-324,10.139.223.125,10.14.199.87,Reconnaissance,T1595,True,ANL-1007,CLOSED,P1,NORMAL
ALT-000002,SOC-001,2026-01-01T08:48:00Z,SIEM,Microsoft Sentinel,Ransomware Behaviour Detected,Impact,HIGH,70,HOST-2552,USR-119,10.26.179.58,10.35.20.194,Impact,T1486,True,ANL-1007,CLOSED,P2,CORRECT_HANDLING
ALT-000003,SOC-001,2026-01-01T18:01:00Z,SIEM,Elastic Security,Repeated Failed Logins,Credential Access,CRITICAL,60,HOST-1442,USR-832,10.101.38.152,10.124.52.179,Credential Access,T1110,True,ANL-1005,CLOSED,P1,NORMAL
ALT-000004,SOC-001,2026-01-01T20:17:00Z,SIEM,Elastic Security,LSASS Memory Access,Credential Access,HIGH,69,HOST-4954,USR-546,10.137.165.219,10.125.44.72,Credential Access,T1003,False,ANL-1010,CLOSED,P2,NORMAL
ALT-000005,SOC-001,2026-01-01T06:05:00Z,SIEM,Elastic Security,Suspicious Binary Download,Command and Control,MEDIUM,81,HOST-3116,USR-876,10.123.243.166,10.251.229.203,Command and Control,T1105,False,ANL-1004,CLOSED,P3,CORRECT_HANDLING
ALT-000006,SOC-001,2026-01-01T09:16:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,HIGH,50,HOST-2109,USR-222,10.94.98.56,10.247.141.186,Reconnaissance,T1595,True,ANL-1004,CLOSED,P2,NORMAL
ALT-000007,SOC-001,2026-01-01T20:55:00Z,SIEM,Microsoft Sentinel,Encoded PowerShell Command,Execution,MEDIUM,83,HOST-1517,USR-391,10.240.245.113,10.174.94.248,Execution,T1059.001,True,ANL-1008,CLOSED,P3,NORMAL
ALT-000008,SOC-001,2026-01-01T19:38:00Z,SIEM,Elastic Security,Unusual Scheduled Task Created,Persistence,MEDIUM,67,HOST-2704,USR-553,10.152.219.79,10.30.50.243,Persistence,T1053.005,True,ANL-1010,CLOSED,P3,CORRECT_HANDLING
ALT-000009,SOC-001,2026-01-01T09:44:00Z,SIEM,Splunk ES,Ransomware Behaviour Detected,Impact,LOW,43,HOST-3895,USR-906,10.101.217.30,10.115.76.233,Impact,T1486,True,ANL-1008,CLOSED,P4,NORMAL
ALT-000010,SOC-001,2026-01-01T13:47:00Z,SIEM,Microsoft Sentinel,Upload to Unapproved Cloud Storage,Exfiltration,LOW,21,HOST-1163,USR-334,10.10.137.148,10.20.89.121,Exfiltration,T1567,True,ANL-1006,CLOSED,P4,NORMAL
ALT-000011,SOC-001,2026-01-01T21:25:00Z,SIEM,Microsoft Sentinel,LSASS Memory Access,Credential Access,MEDIUM,50,HOST-2180,USR-358,10.165.59.249,10.206.0.169,Credential Access,T1003,True,ANL-1009,CLOSED,P3,CORRECT_HANDLING
ALT-000012,SOC-001,2026-01-01T15:07:00Z,SIEM,Splunk ES,Large Outbound Data Transfer,Exfiltration,MEDIUM,30,HOST-3860,USR-418,10.7.208.24,10.115.58.119,Exfiltration,T1041,False,ANL-1001,CLOSED,P3,CORRECT_HANDLING
ALT-000013,SOC-001,2026-01-01T13:21:00Z,SIEM,Microsoft Sentinel,Unusual RDP Session,Lateral Movement,LOW,46,HOST-4235,USR-843,10.152.250.222,10.76.228.138,Lateral Movement,T1021.001,True,ANL-1009,CLOSED,P4,CORRECT_HANDLING
ALT-000014,SOC-001,2026-01-01T12:24:00Z,SIEM,Splunk ES,Suspicious CMD Execution,Execution,HIGH,73,HOST-4323,USR-137,10.64.169.223,10.51.225.26,Execution,T1059.003,False,ANL-1011,CLOSED,P2,NORMAL
ALT-000015,SOC-001,2026-01-01T19:04:00Z,SIEM,IBM QRadar,Internal Network Port Scan,Reconnaissance,HIGH,39,HOST-1147,USR-864,10.46.222.251,10.50.51.114,Reconnaissance,T1595,True,ANL-1004,CLOSED,P2,CORRECT_HANDLING
ALT-000016,SOC-001,2026-01-01T12:39:00Z,SIEM,Splunk ES,Repeated Failed Logins,Credential Access,LOW,39,HOST-4566,USR-572,10.130.235.66,10.4.238.231,Credential Access,T1110,True,ANL-1011,CLOSED,P4,CORRECT_HANDLING
ALT-000017,SOC-001,2026-01-01T11:36:00Z,SIEM,IBM QRadar,Internal Network Port Scan,Reconnaissance,LOW,12,HOST-3342,USR-949,10.202.140.3,10.25.254.214,Reconnaissance,T1595,False,ANL-1005,CLOSED,P4,NORMAL
ALT-000018,SOC-001,2026-01-01T23:26:00Z,SIEM,IBM QRadar,Beaconing to Known C2 Domain,Command and Control,CRITICAL,77,HOST-2338,USR-613,10.139.84.66,10.246.151.192,Command and Control,T1071.001,True,ANL-1003,CLOSED,P1,CORRECT_HANDLING
ALT-000019,SOC-001,2026-01-01T20:23:00Z,SIEM,Elastic Security,Ransomware Behaviour Detected,Impact,MEDIUM,13,HOST-4368,USR-734,10.167.113.166,10.32.237.233,Impact,T1486,True,ANL-1002,CLOSED,P3,CORRECT_HANDLING
ALT-000020,SOC-001,2026-01-01T22:34:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,MEDIUM,63,HOST-4043,USR-770,10.50.250.158,10.208.143.9,Reconnaissance,T1595,True,ANL-1007,CLOSED,P3,SLOW_TRIAGE
ALT-000021,SOC-001,2026-01-01T20:38:00Z,SIEM,IBM QRadar,New Registry Run Key Entry,Persistence,MEDIUM,41,HOST-3628,USR-228,10.105.35.213,10.106.110.209,Persistence,T1547.001,True,ANL-1001,CLOSED,P3,NORMAL
ALT-000022,SOC-001,2026-01-01T18:20:00Z,SIEM,Microsoft Sentinel,Password Spraying Detected,Credential Access,HIGH,26,HOST-1974,USR-859,10.215.58.191,10.32.243.115,Credential Access,T1110,True,ANL-1001,CLOSED,P2,CORRECT_HANDLING
ALT-000023,SOC-001,2026-01-01T14:04:00Z,SIEM,Splunk ES,Internal Network Port Scan,Reconnaissance,MEDIUM,18,HOST-4726,USR-229,10.140.166.98,10.150.232.130,Reconnaissance,T1595,True,ANL-1002,CLOSED,P3,NORMAL
ALT-000024,SOC-001,2026-01-01T08:23:00Z,SIEM,Elastic Security,Internal Network Port Scan,Reconnaissance,MEDIUM,18,HOST-3724,USR-193,10.43.47.111,10.49.190.208,Reconnaissance,T1595,True,ANL-1003,CLOSED,P3,NORMAL
ALT-000025,SOC-001,2026-01-01T07:54:00Z,SIEM,IBM QRadar,Beaconing to Known C2 Domain,Command and Control,LOW,24,HOST-2975,USR-880,10.142.115.207,10.219.13.156,Command and Control,T1071.001,True,ANL-1002,CLOSED,P4,NORMAL
ALT-000026,SOC-001,2026-01-01T06:24:00Z,SIEM,Splunk ES,Unusual Scheduled Task Created,Persistence,LOW,57,HOST-3172,USR-419,10.166.43.227,10.26.79.41,Persistence,T1053.005,True,ANL-1007,CLOSED,P4,CORRECT_HANDLING
ALT-000027,SOC-001,2026-01-01T21:37:00Z,SIEM,IBM QRadar,New Registry Run Key Entry,Persistence,LOW,15,HOST-3777,USR-325,10.202.28.2,10.104.154.243,Persistence,T1547.001,True,ANL-1008,CLOSED,P4,CORRECT_HANDLING
ALT-000028,SOC-001,2026-01-01T01:27:00Z,SIEM,Microsoft Sentinel,Unusual SMB Admin Share Access,Lateral Movement,LOW,50,HOST-4039,USR-689,10.219.207.182,10.213.148.30,Lateral Movement,T1021.002,True,ANL-1001,CLOSED,P4,CORRECT_HANDLING
ALT-000029,SOC-001,2026-01-01T10:49:00Z,SIEM,Microsoft Sentinel,New Registry Run Key Entry,Persistence,HIGH,77,HOST-1907,USR-622,10.99.178.90,10.75.120.27,Persistence,T1547.001,True,ANL-1003,CLOSED,P2,CORRECT_HANDLING
ALT-000030,SOC-001,2026-01-01T14:40:00Z,SIEM,Microsoft Sentinel,Suspicious Binary Download,Command and Control,MEDIUM,55,HOST-2920,USR-619,10.37.158.119,10.231.19.15,Command and Control,T1105,False,ANL-1005,CLOSED,P3,MISSED_ESCALATION
ALT-000031,SOC-001,2026-01-01T10:45:00Z,SIEM,Splunk ES,Password Spraying Detected,Credential Access,LOW,15,HOST-4682,USR-353,10.224.224.135,10.81.186.96,Credential Access,T1110,True,ANL-1002,CLOSED,P4,CORRECT_HANDLING
ALT-000032,SOC-001,2026-01-01T04:58:00Z,SIEM,Elastic Security,Large Outbound Data Transfer,Exfiltration,LOW,26,HOST-3718,USR-709,10.43.158.144,10.192.168.209,Exfiltration,T1041,True,ANL-1006,CLOSED,P4,FAST_CLOSURE
ALT-000033,SOC-001,2026-01-01T03:32:00Z,SIEM,Microsoft Sentinel,Repeated Failed Logins,Credential Access,LOW,94,HOST-4228,USR-444,10.67.192.40,10.83.92.213,Credential Access,T1110,False,ANL-1009,CLOSED,P4,CORRECT_HANDLING
ALT-000034,SOC-001,2026-01-01T18:28:00Z,SIEM,Elastic Security,Upload to Unapproved Cloud Storage,Exfiltration,LOW,74,HOST-4879,USR-640,10.214.82.210,10.102.70.224,Exfiltration,T1567,False,ANL-1008,CLOSED,P4,CORRECT_HANDLING
ALT-000035,SOC-001,2026-01-01T14:56:00Z,SIEM,Elastic Security,LSASS Memory Access,Credential Access,CRITICAL,16,HOST-1909,USR-505,10.191.120.99,10.41.191.58,Credential Access,T1003,False,ANL-1006,CLOSED,P1,FAST_CLOSURE
ALT-000036,SOC-001,2026-01-01T04:35:00Z,SIEM,Microsoft Sentinel,Ransomware Behaviour Detected,Impact,LOW,46,HOST-1089,USR-343,10.154.62.13,10.122.214.164,Impact,T1486,False,ANL-1010,CLOSED,P4,REPEATED_FALSE_POSITIVE
ALT-000037,SOC-001,2026-01-01T07:36:00Z,SIEM,Microsoft Sentinel,LSASS Memory Access,Credential Access,LOW,77,HOST-2445,USR-469,10.34.10.100,10.240.22.163,Credential Access,T1003,True,ANL-1007,CLOSED,P4,CORRECT_HANDLING
ALT-000038,SOC-001,2026-01-01T21:29:00Z,SIEM,Splunk ES,Suspicious CMD Execution,Execution,HIGH,18,HOST-1717,USR-833,10.234.18.76,10.103.22.203,Execution,T1059.003,True,ANL-1008,CLOSED,P2,CORRECT_HANDLING
ALT-000039,SOC-001,2026-01-01T23:28:00Z,SIEM,Splunk ES,Large Outbound Data Transfer,Exfiltration,MEDIUM,73,HOST-2638,USR-808,10.254.188.237,10.136.42.187,Exfiltration,T1041,True,ANL-1007,CLOSED,P3,NORMAL
ALT-000040,SOC-001,2026-01-01T11:28:00Z,SIEM,IBM QRadar,Upload to Unapproved Cloud Storage,Exfiltration,LOW,88,HOST-2818,USR-545,10.140.29.20,10.207.186.132,Exfiltration,T1567,False,ANL-1001,CLOSED,P4,CORRECT_HANDLING
ALT-000041,SOC-001,2026-01-02T14:48:00Z,SIEM,IBM QRadar,Encoded PowerShell Command,Execution,CRITICAL,60,HOST-2523,USR-421,10.142.127.246,10.58.13.189,Execution,T1059.001,True,ANL-1002,CLOSED,P1,CORRECT_HANDLING
ALT-000042,SOC-001,2026-01-02T10:42:00Z,SIEM,IBM QRadar,LSASS Memory Access,Credential Access,HIGH,48,HOST-4963,USR-971,10.80.89.204,10.185.114.32,Credential Access,T1003,False,ANL-1006,CLOSED,P2,REOPENED_CASE
ALT-000043,SOC-001,2026-01-02T20:04:00Z,SIEM,IBM QRadar,Internal Network Port Scan,Reconnaissance,LOW,26,HOST-2298,USR-999,10.93.66.111,10.28.63.133,Reconnaissance,T1595,True,ANL-1008,CLOSED,P4,CORRECT_HANDLING
ALT-000044,SOC-001,2026-01-02T16:41:00Z,SIEM,Splunk ES,Large Outbound Data Transfer,Exfiltration,MEDIUM,31,HOST-1382,USR-774,10.172.21.212,10.14.41.12,Exfiltration,T1041,True,ANL-1003,CLOSED,P3,NORMAL
ALT-000045,SOC-001,2026-01-02T14:26:00Z,SIEM,IBM QRadar,Upload to Unapproved Cloud Storage,Exfiltration,MEDIUM,87,HOST-1647,USR-247,10.160.163.188,10.176.204.34,Exfiltration,T1567,True,ANL-1008,CLOSED,P3,CORRECT_HANDLING
ALT-000046,SOC-001,2026-01-02T05:52:00Z,SIEM,IBM QRadar,Upload to Unapproved Cloud Storage,Exfiltration,LOW,34,HOST-4544,USR-881,10.81.255.132,10.239.255.226,Exfiltration,T1567,False,ANL-1006,CLOSED,P4,CORRECT_HANDLING
