alert_id,soc_id,assigned_analyst_id,severity,finding_type,rule_id,rationale,case_id
ALT-000196,SOC-001,ANL-1002,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000205,SOC-001,ANL-1001,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-000303,SOC-001,ANL-1010,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-000344,SOC-001,ANL-1001,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-000364,SOC-001,ANL-1010,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000374,SOC-001,ANL-1009,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000593,SOC-002,ANL-2021,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000774,SOC-002,ANL-2003,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000793,SOC-002,ANL-2005,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000811,SOC-002,ANL-2014,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-000820,SOC-002,ANL-2014,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-000833,SOC-002,ANL-2005,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001076,SOC-002,ANL-2017,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001134,SOC-002,ANL-2008,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001141,SOC-002,ANL-2005,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001161,SOC-002,ANL-2016,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001230,SOC-002,ANL-2014,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001399,SOC-002,ANL-2003,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001409,SOC-002,ANL-2001,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001467,SOC-002,ANL-2001,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001504,SOC-003,ANL-3022,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001534,SOC-003,ANL-3019,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001553,SOC-003,ANL-3010,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001619,SOC-003,ANL-3012,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001644,SOC-003,ANL-3017,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001685,SOC-003,ANL-3021,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001743,SOC-003,ANL-3008,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001762,SOC-003,ANL-3004,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001773,SOC-003,ANL-3022,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-001780,SOC-003,ANL-3015,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001858,SOC-003,ANL-3006,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001866,SOC-003,ANL-3015,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-001930,SOC-003,ANL-3019,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002042,SOC-003,ANL-3004,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002061,SOC-003,ANL-3001,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002062,SOC-003,ANL-3014,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002095,SOC-003,ANL-3015,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002237,SOC-003,ANL-3008,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002263,SOC-003,ANL-3006,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002286,SOC-003,ANL-3021,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002418,SOC-003,ANL-3013,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002448,SOC-003,ANL-3008,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002460,SOC-003,ANL-3002,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002469,SOC-003,ANL-3007,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002484,SOC-003,ANL-3017,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002493,SOC-003,ANL-3019,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002543,SOC-003,ANL-3005,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002598,SOC-003,ANL-3016,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002717,SOC-003,ANL-3001,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002725,SOC-003,ANL-3013,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002727,SOC-003,ANL-3019,HIGH,MISSED_ESCALATION,ESC-REQUIRED-001,Severity HIGH alert required escalation per policy but no escalation was initiated.,
ALT-002803,SOC-003,ANL-3002,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
ALT-002845,SOC-004,ANL-4022,CRITICAL,MISSED_ESCALATION,ESC-REQUIRED-001,Severity CRITICAL alert required escalation per policy but no escalation was initiated.,
