case_id,soc_id,incident_id,alert_id,created_at,assigned_analyst_id,severity,status,resolution,resolution_reason,investigation_notes,closed_at
CASE-000001,SOC-001,INC-000001,ALT-000001,2026-01-01T12:54:00Z,ANL-1007,CRITICAL,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Reviewed T1595 activity on HOST-2223; correlated with source 10.139.223.125.,2026-01-01T13:40:00Z
CASE-000002,SOC-001,,ALT-000002,2026-01-01T08:48:00Z,ANL-1007,HIGH,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Reviewed escalation criteria for HOST-2552; behaviour consistent with known baseline.,2026-01-01T09:37:00Z
CASE-000003,SOC-001,INC-000002,ALT-000003,2026-01-01T18:01:00Z,ANL-1005,CRITICAL,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Manually reviewed HOST-1442 logs; findings documented against case ticket.,2026-01-01T18:51:00Z
CASE-000004,SOC-001,,ALT-000004,2026-01-01T20:17:00Z,ANL-1010,HIGH,CLOSED,FALSE_POSITIVE,LSASS Memory Access — False Positive,Investigated T1003 indicators on HOST-4954; no further lateral movement observed.,2026-01-01T20:59:00Z
CASE-000005,SOC-001,,ALT-000005,2026-01-01T06:05:00Z,ANL-1004,MEDIUM,CLOSED,FALSE_POSITIVE,Suspicious Binary Download — False Positive,Reviewed escalation criteria for HOST-3116; behaviour consistent with known baseline.,2026-01-01T09:59:00Z
CASE-000006,SOC-001,,ALT-000006,2026-01-01T09:16:00Z,ANL-1004,HIGH,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Investigated T1595 indicators on HOST-2109; no further lateral movement observed.,2026-01-01T10:18:00Z
CASE-000007,SOC-001,,ALT-000007,2026-01-01T20:55:00Z,ANL-1008,MEDIUM,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Investigated T1059.001 indicators on HOST-1517; no further lateral movement observed.,2026-01-02T01:14:00Z
CASE-000008,SOC-001,,ALT-000008,2026-01-01T19:38:00Z,ANL-1010,MEDIUM,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Manually reviewed HOST-2704 logs; findings documented against case ticket.,2026-01-01T22:42:00Z
CASE-000009,SOC-001,,ALT-000009,2026-01-01T09:44:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Analysed endpoint telemetry for HOST-3895 tied to T1486 detection.,2026-01-01T14:21:00Z
CASE-000010,SOC-001,,ALT-000010,2026-01-01T13:47:00Z,ANL-1006,LOW,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Checked process execution history for HOST-1163 following T1567 alert.,2026-01-01T19:48:00Z
CASE-000011,SOC-001,,ALT-000011,2026-01-01T21:25:00Z,ANL-1009,MEDIUM,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Validated authentication logs tied to HOST-2180 to rule out credential compromise.,2026-01-02T00:57:00Z
CASE-000012,SOC-001,,ALT-000012,2026-01-01T15:07:00Z,ANL-1001,MEDIUM,CLOSED,FALSE_POSITIVE,Large Outbound Data Transfer — False Positive,Analysed endpoint telemetry for HOST-3860 tied to T1041 detection.,2026-01-01T17:21:00Z
CASE-000013,SOC-001,,ALT-000013,2026-01-01T13:21:00Z,ANL-1009,LOW,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,Analysed endpoint telemetry for HOST-4235 tied to T1021.001 detection.,2026-01-01T19:15:00Z
CASE-000014,SOC-001,,ALT-000014,2026-01-01T12:24:00Z,ANL-1011,HIGH,CLOSED,FALSE_POSITIVE,Suspicious CMD Execution — False Positive,Reviewed escalation criteria for HOST-4323; behaviour consistent with known baseline.,2026-01-01T13:46:00Z
CASE-000015,SOC-001,,ALT-000015,2026-01-01T19:04:00Z,ANL-1004,HIGH,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Analysed endpoint telemetry for HOST-1147 tied to T1595 detection.,2026-01-01T20:21:00Z
CASE-000016,SOC-001,,ALT-000016,2026-01-01T12:39:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Validated authentication logs tied to HOST-4566 to rule out credential compromise.,2026-01-01T19:18:00Z
CASE-000017,SOC-001,,ALT-000017,2026-01-01T11:36:00Z,ANL-1005,LOW,CLOSED,FALSE_POSITIVE,Internal Network Port Scan — False Positive,Reviewed T1595 activity on HOST-3342; correlated with source 10.202.140.3.,2026-01-01T16:12:00Z
CASE-000018,SOC-001,,ALT-000018,2026-01-01T23:26:00Z,ANL-1003,CRITICAL,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Investigated T1071.001 indicators on HOST-2338; no further lateral movement observed.,2026-01-02T00:15:00Z
CASE-000019,SOC-001,,ALT-000019,2026-01-01T20:23:00Z,ANL-1002,MEDIUM,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Cross-referenced 10.167.113.166 against threat intelligence feeds for HOST-4368.,2026-01-01T23:04:00Z
